용어
코코블
펀펀코딩
연구일지
온도
ONDO
코코게임
블록
시작하기
끝내기
앞으로
걷기
몇 칸
1칸
한칸
2칸
두칸
3칸
세칸
4칸 
네칸
뒤로
헤엄치기
수영
다이빙
점프
슬라이딩
운전
줍기
먹이주기
오른쪽
왼쪽
제자리
돌기
앞에
물고기
잡기
얼음
깨기
눈
치우기
시동
켜기
끄기
이글루
고치기
대문
만들기
얼음
다듬기
소리치기
반복
몇 번
2번
두번
3번
세번
4번
네번
물
썰매
주차
구멍
물건
먹이
아기
펭귄
물개
동물
낚시
장애물
스쿠아
연구
일지
DQ
디큐
디지털
디지버그
디포로봇
모바일
리더
태블릿 PC
스마트폰
컴퓨터
바이러스
네트워크
인터넷
온라인
오프라인
미션
공감
영상
통화
대화
멀티태스킹
게임
중독
개인정보
개인
정보
보호
웹
사이트
채팅
공유
회원
가입
동영상
매너
발자국
접속
큐레이터
사이버
폭력
증거
도움
요청
활동
스마트폰
미디어
기술
메시지
텔레비전
기기
선물
행사
이름
주소
전화번호
혈액형
사진
허락
행동
감정
감성
인식
전문가
프로그래밍
언어
네트워크
디버깅
문제
분해
해결력
배려
소프트웨어
순차
알고리즘
업로드
인공지능
접속
존중
창의력
추상화
바이러스
컴퓨팅
사고력
코드
코딩
패턴
인식
하드웨어
4차
산업혁명
협력
코코
잡기 팔
카트
크레인
드론
광선
로봇팔
스스로
함께
버튼
합치기
나누기
대형
재활용
쓰레기
수집
액션
알루미늄
철
유리
플라스틱
비닐
종이
스티로폼
물건
도구
음료
초강력자석
뚫어뻥
주스
집게
잼
에어캡
갈고리
책
뜰채
물병
일회용
접시
옷걸이
박스
라면
봉지
컵
페트병
드럼통
과자
참치캔
기름병
휴지
양파망
주전자
우유팩
뒤집개
컵라면
샴푸통
냄비
라면수프
택배
봉투
돋보기
프라이팬
도시락통
신문
꽃병
알코올램프
비닐봉지
종이컵
도시락
요구르트
텀블러
병뚜껑
종이봉투
지퍼백
물뿌리개
비커
골판지
숟가락
우비
색종이
스프레이
사다리
메스실린더
공책
스케치북
쓰레기통
비닐장갑
유리구슬
가제트
음료수
분리배출
자연분해
뽁뽁이
도자기
위생 봉투
AI 리포트
마이 페이지
초코숲
베어콩
포이
코박사
학습내용
학습목표
무료체험
소셜
계정
인증
프로필
결제
비밀번호
